"","compound","LSM.ID","LSM.name","cell","Concordance","Tanimoto","autodock","Rank_S2L","Rank_Autodock","Geomean"
"3628","ZINC21793412","LSM-2145","MLS-0425616.0001","PC3",0.307,0.9,9.89e-06,730,33790,4966.55816436292
"3629","ZINC33676884","LSM-39615","BRD-K42576592","VCAP",0.184,0.714,1.41e-08,19092,1292,4966.57467476328
"3630","ZINC12415407","LSM-4554","F0605-0375","HA1E",0.23,0.825,6.49e-08,4146,5951,4967.17686417546
"3631","ZINC19522994","LSM-42692","BRD4770","PHH",0.176,0.768,2.45e-08,10388,2376,4968.08695576074
"3632","ZINC21953863","LSM-36627","CHEMDIV3_009089","PHH",0.168,0.774,2.65e-08,9563,2581,4968.10859382119
"3633","ZINC09777265","LSM-11698","BRD-K53808186","VCAP",0.229,0.698,1.26e-08,21715,1137,4968.89877135769
"3634","ZINC33636465","LSM-2639","KUC104140","PC3",0.219,0.837,8.85e-08,3283,7525,4970.36970455921
"3635","ZINC12832963","LSM-38534","BRD-K23217353","MCF7",0.187,0.829,7.1e-08,3867,6389,4970.53950794076
"3636","ZINC20756704","LSM-45461","ACRIVASTINE","HELA",0.215,0.716,1.44e-08,18651,1325,4971.17440852763
"3637","ZINC39635501","LSM-39744","CHEMBL3182128","NPC",0.26,0.69,1.2e-08,23032,1074,4973.56692927722
"3638","ZINC02398786","LSM-45297","Deferasirox","MCF7",0.216,0.885,7.6e-07,1083,22847,4974.26386513623
"3639","ZINC18257800","LSM-4592","STK139547","VCAP",0.234,0.796,3.72e-08,6855,3610,4974.5904354027
"3640","ZINC33781657","LSM-1137","BMS-509744","SKL",0.276,0.713,1.41e-08,19143,1293,4975.12803855338
"3641","ZINC34703574","LSM-1115","LDN 193189","BT20",0.331,0.793,3.57e-08,7125,3475,4975.87931927614
"3642","ZINC01382141","LSM-2332","MLS003568132","A549",0.23,0.866,2.47e-07,1721,14388,4976.11776387979
"3643","ZINC58913176","LSM-36373","PH-797804","HT29",0.195,0.812,4.86e-08,5281,4689,4976.20427635361
"3644","ZINC46483487","LSM-45620","Dihydrosphingosine","HELA",0.263,0.822,6.16e-08,4341,5705,4976.4852054437
"3645","ZINC40450952","LSM-37884","BRD-K11932360","A549",0.167,0.823,6.22e-08,4319,5736,4977.32699347752
"3646","ZINC12183729","LSM-45389","VILAZODONE HYDROCHLORIDE","HT29",0.296,0.671,1.08e-08,26221,945,4977.83537293069
"3647","ZINC06441965","LSM-40383","BRD-K56704970","PC3",0.252,0.717,1.45e-08,18465,1342,4977.95439914831
"3648","CHEMBL472545","LSM-45969","Otenabant","HA1E",0.205,0.78,2.9e-08,8785,2821,4978.2009802739
"3649","ZINC00713650","LSM-43196","AGK 2","SW948",0.331,0.831,7.72e-08,3641,6807,4978.38196606086
"3650","ZINC11914917","LSM-4032","AC1LDBAO","MCF7",0.332,0.87,3.1e-07,1538,16117,4978.74944137582
"3651","CHEMBL472545","LSM-45969","Otenabant","HA1E",0.205,0.78,2.9e-08,8786,2822,4979.36662638934
"3652","ZINC18272237","LSM-4522","STK139544","ASC",0.257,0.848,1.26e-07,2568,9659,4980.39275559669
"3653","ZINC02702459","LSM-1981","SCHEMBL2238247","MCF7",0.168,0.804,4.22e-08,6037,4109,4980.56553013812
"3654","ZINC09679532","LSM-4673","AC1MTJVV","HCC515",0.308,0.848,1.28e-07,2542,9767,4982.74161481408
"3655","ZINC06443895","LSM-2177","BRD-K08829932","HEPG2",0.269,0.787,3.23e-08,7901,3143,4983.25626473293
"3656","ZINC16534178","LSM-1201","NVP-BHG712","PC3",0.345,0.826,6.84e-08,4002,6206,4983.61435105085
"3657","ZINC55334367","LSM-2824","Kenpaullone","PHH",0.259,0.88,5.45e-07,1212,20507,4985.42716324289
"3658","ZINC25643312","LSM-1368","Haematoxylin Pentaacetate","HCC515",0.183,0.741,1.8e-08,14509,1714,4986.82524257668
"3659","ZINC46650974","LSM-45815","Tasquinimod","MCF7",0.186,0.759,2.2e-08,11672,2131,4987.28703805987
"3660","ZINC06748120","LSM-3513","ZM323881","HCC515",0.287,0.841,1.02e-07,2987,8332,4988.75575669926
"3661","ZINC39695062","LSM-41922","BRD-K85236313","NPC",0.299,0.712,1.41e-08,19234,1294,4988.86720608998
"3662","ZINC08789536","LSM-2780","Lintitript","VCAP",0.256,0.787,3.23e-08,7918,3144,4989.40798091317
"3663","ZINC59506294","LSM-3513","ZM323881","HCC515",0.287,0.859,1.84e-07,2027,12286,4990.36291265475
"3664","ZINC01773022","LSM-2187","MLS003448141","VCAP",0.25,0.838,9.26e-08,3195,7796,4990.81356093373
"3665","ZINC39914741","LSM-4574","ST50073310","ASC",0.278,0.831,7.7e-08,3668,6791,4990.9305745522
"3666","CHEMBL475768","LSM-1051","Lapatinib","PC3",0.344,0.902,NA,687,36262,4991.19164128167
"3667","ZINC01882668","LSM-4904","ZINC01041848","MCF7",0.21,0.844,1.1e-07,2832,8798,4991.58652133768
"3668","ZINC15773569","LSM-4538","AK-778/12434114","PC3",0.24,0.866,2.51e-07,1717,14515,4992.21944629841
"3669","ZINC14478068","LSM-3201","MLS-0315803.0001","PC3",0.209,0.778,2.81e-08,9110,2737,4993.40264749399
"3670","ZINC39678351","LSM-1521","OMDM-2","VCAP",0.225,0.87,3.02e-07,1568,15904,4993.74328535218
"3671","ZINC15773569","LSM-4538","AK-778/12434114","PC3",0.24,0.866,2.51e-07,1718,14516,4993.84501161179
"3672","ZINC09409965","LSM-40147","BRD-K52099002","A549",0.283,0.729,1.63e-08,16391,1522,4994.70739883729
"3673","ZINC39668952","LSM-37181","SCHEMBL13533329","NPC",0.171,0.667,1.06e-08,27268,915,4995.01951948138
"3674","ZINC00759064","LSM-3498","SB-431542","PC3",0.245,0.882,6.34e-07,1155,21614,4996.41571529031
"3675","ZINC08790129","LSM-36808","KUC111109N","PC3",0.265,0.811,4.84e-08,5348,4669,4996.98028813402
"3676","ZINC01817732","LSM-4597","AC1LPBDT","SKB",0.26,0.859,1.84e-07,2033,12287,4997.94667838704
"3677","ZINC42165233","LSM-3534","Dicyclomine","HCC515",0.221,0.897,3.3e-06,815,30669,4999.52347729261
"3678","ZINC08720963","LSM-6303","Dabrafenib","A375",0.281,0.827,6.99e-08,3961,6317,5002.16323204271
"3679","ZINC28388176","LSM-45674","XL-147","A375",0.173,0.807,4.48e-08,5756,4348,5002.70806663751
"3680","ZINC22649362","LSM-40381","BRD-K56647759","PC3",0.207,0.746,1.92e-08,13610,1839,5002.87817161282
"3681","ZINC22135315","LSM-42689","Fcodpguefhccia-Uhfffaoysa-N","RMUGS",0.251,0.851,1.4e-07,2412,10382,5004.13668878059
"3682","ZINC04848048","LSM-3360","NBI 27914","A549",0.301,0.729,1.64e-08,16368,1530,5004.30214915127
"3683","ZINC16778515","LSM-4550","BAS 05532738","PC3",0.21,0.87,3.02e-07,1575,15905,5005.03496491283
"3684","ZINC38592126","LSM-6259","(S)-Tipifarnib","T3M10",0.193,0.856,1.62e-07,2205,11367,5006.41937915712
"3685","ZINC39836330","LSM-2409","CHEMBL2057940","MCF7",0.258,0.632,9.59e-09,31074,807,5007.6659233619
"3686","ZINC33732491","LSM-38507","BRD-K22836524","VCAP",0.215,0.679,1.13e-08,24980,1004,5007.98562298256
"3687","ZINC39487614","LSM-36613","STK177393","HUH7",0.179,0.894,2.05e-06,876,28633,5008.2440036404
"3688","ZINC20558776","LSM-5344","Mocetinostat","PC3",0.374,0.866,2.59e-07,1702,14741,5008.91026072538
"3689","ZINC16456552","LSM-6318","JW 55","HCC515",0.389,0.75,2.08e-08,12598,1993,5010.76980113834
"3690","ZINC39480859","LSM-36409","BRD-K39647256","NEU",0.164,0.771,2.6e-08,9953,2523,5011.12951339316
"3691","ZINC15587433","LSM-43131","ST50973695","HCC515",0.23,0.833,8.1e-08,3562,7052,5011.908219431
"3692","ZINC01082027","LSM-42930","SYK Inhibitor","HCC515",0.329,0.882,6.86e-07,1133,22171,5011.95999584993
"3693","ZINC08254221","LSM-11645","BRD-K52662613","HT29",0.212,0.857,1.67e-07,2172,11567,5012.33717940044
"3694","ZINC14180358","LSM-3974","PD-198306","HCC515",0.247,0.822,6.25e-08,4352,5774,5012.82834336066
"3695","ZINC02066523","LSM-3639","Diazoxide","A375",0.311,0.9,1.46e-05,729,34479,5013.50087264379
"3696","ZINC10812226","LSM-2321","F1298-0937","HCC515",0.256,0.84,9.84e-08,3085,8151,5014.56229395946
"3697","ZINC01341880","LSM-36763","PCL2_000121","HCC515",0.276,0.762,2.32e-08,11132,2259,5014.69719923347
"3698","ZINC39655753","LSM-39847","BRD-K46532981","VCAP",0.318,0.8,4.12e-08,6270,4013,5016.12499844252
"3699","ZINC32692800","LSM-4869","MLS-0435531.0001","VCAP",0.282,0.79,3.45e-08,7505,3354,5017.14759599516
"3700","ZINC06193801","LSM-5732","Ispinesib","NEU",0.17,0.837,9.02e-08,3297,7636,5017.55837036302
"3701","CHEMBL474343","LSM-45329","THZ-2-98-01","MDAMB231",0.314,0.788,3.35e-08,7745,3252,5018.63925780684
"3702","ZINC00931449","LSM-2699","Tolazamide","HT29",0.305,0.676,1.12e-08,25315,995,5018.80712918917
"3703","ZINC13064982","LSM-45820","Letermovir","MCF7",0.216,0.747,1.97e-08,13421,1877,5019.08527522695
"3704","ZINC40569053","LSM-2825","NCGC00161790-01","A375",0.224,0.88,5.55e-07,1221,20634,5019.3738653342
"3705","CHEMBL474343","LSM-45329","THZ-2-98-01","MDAMB231",0.314,0.788,3.35e-08,7746,3253,5019.73485355551
"3706","CHEMBL474343","LSM-45329","THZ-2-98-01","MDAMB231",0.314,0.788,3.35e-08,7747,3254,5020.8304094044
"3707","ZINC17305422","LSM-4623","MLS001178727","ASC",0.256,0.688,1.2e-08,23453,1075,5021.15275609098
"3708","ZINC59466798","LSM-4024","MY 5445","MCF7",0.251,0.861,2.06e-07,1925,13099,5021.51122671253
"3709","CHEMBL474343","LSM-45329","THZ-2-98-01","MDAMB231",0.314,0.788,3.35e-08,7748,3255,5021.92592537962
"3710","ZINC38903373","LSM-45445","Betrixaban","YAPC",0.25,0.878,4.98e-07,1270,19859,5022.04440442336
"3711","ZINC05522875","LSM-3112","SRC Kinase Inhibitor I","VCAP",0.266,0.851,1.42e-07,2409,10472,5022.65348197544
"3712","ZINC38701256","LSM-37184","Alisertib","MCF7",0.284,0.805,4.42e-08,5888,4289,5025.29919507287
"3713","ZINC39662284","LSM-3703","Mapp, D-Erythro","VCAP",0.236,0.833,8.21e-08,3548,7122,5026.81370253563
"3714","ZINC15184270","LSM-39963","BRD-K48505466","VCAP",0.168,0.705,1.35e-08,20611,1226,5026.83657979847
"3715","ZINC53916069","LSM-41734","BRD-K81739235","MCF7",0.246,0.71,1.4e-08,19698,1283,5027.17952732941
"3716","ZINC09963359","LSM-38619","BRD-K24722667","PC3",0.191,0.803,4.22e-08,6152,4110,5028.39139288103
"3717","ZINC13636570","LSM-44636","K114","NEU",0.18,0.863,2.19e-07,1863,13574,5028.7535234887
"3718","ZINC40988392","LSM-4172","GW7647","HA1E",0.246,0.79,3.45e-08,7541,3355,5029.91600327481
"3719","ZINC13501145","LSM-2983","Capsazepine","NPC",0.202,0.71,1.4e-08,19722,1284,5032.20110885883
"3720","ZINC65074864","LSM-43264","Ibutilide","YAPC",0.249,0.87,3.16e-07,1556,16279,5032.90413181098
"3721","ZINC39421635","LSM-4548","AC1LP9YB","VCAP",0.27,0.837,9.24e-08,3259,7781,5035.70044780267
"3722","ZINC15968589","LSM-45761","DICUMAROL","YAPC",0.261,0.846,1.22e-07,2676,9477,5035.9162026388
"3723","ZINC00989335","LSM-3862","PD-407824","NPC",0.362,0.87,3.28e-07,1533,16549,5036.82608395406
"3724","ZINC12010489","LSM-45209","XMD15-27","SKBR3",0.268,0.789,3.42e-08,7637,3324,5038.3914099641
"3725","ZINC15865327","LSM-4592","STK139547","VCAP",0.234,0.774,2.74e-08,9522,2668,5040.30713349891
"3726","ZINC01423369","LSM-1225","Allitinib","HCC515",0.294,0.824,6.65e-08,4192,6065,5042.269330371
"3727","CHEMBL204085","LSM-1098","Gefitinib","SKBR3",0.332,0.733,1.73e-08,15600,1630,5042.61836747537
"3728","ZINC33775013","LSM-2613","Apafant","SKB",0.231,0.654,1.03e-08,28614,889,5043.59455150788
"3729","CHEMBL204085","LSM-1098","Gefitinib","SKBR3",0.332,0.733,1.73e-08,15601,1631,5044.32661511921
"3730","ZINC25186979","LSM-4851","1-{1-[4-(Morpholine-4-sulfonyl)-phenyl]-piperidin-4-ylmethyl}-3-o-tolyl-urea","VCAP",0.267,0.678,1.14e-08,25071,1015,5044.50840023089
"3731","ZINC11055697","LSM-2321","F1298-0937","HCC515",0.256,0.792,3.59e-08,7297,3488,5044.99117937782
"3732","ZINC63752779","LSM-6335","I-BET151","HT29",0.203,0.846,1.2e-07,2719,9362,5045.32238811357
"3733","ZINC45829543","LSM-43078","MEGXP0_000831","A549",0.348,0.763,2.39e-08,10983,2318,5045.65099863239
"3734","ZINC09336666","LSM-1755","Nafadotride","HEPG2",0.283,0.737,1.77e-08,15109,1685,5045.65803438957
"3735","ZINC40735750","LSM-41313","SA-96816","MCF7",0.285,0.793,3.67e-08,7160,3557,5046.59489160761
"3736","ZINC39966183","LSM-45708","Coluracetam","PC3",0.308,0.766,2.48e-08,10591,2406,5047.9645402875
"3737","CHEMBL306732","LSM-3406","MLS002276498","VCAP",0.296,0.851,1.45e-07,2401,10615,5048.42698273433
"3738","ZINC04162317","LSM-2780","Lintitript","VCAP",0.256,0.803,4.28e-08,6112,4172,5049.67959379603
"3739","ZINC49204098","LSM-3639","Diazoxide","A375",0.311,0.9,2.24e-05,728,35045,5051.01573943301
"3740","ZINC07597692","LSM-4522","STK139544","ASC",0.257,0.875,4.37e-07,1354,18843,5051.08127038162
"3741","ZINC38701201","LSM-37184","Alisertib","MCF7",0.284,0.833,8.56e-08,3477,7341,5052.19328608873
"3742","ZINC64588109","LSM-1143","Trametinib","MCF10A",0.287,0.87,3.25e-07,1548,16497,5053.44991070457
"3743","ZINC12282141","LSM-41082","BRD-K70109596","MCF7",0.2,0.681,1.16e-08,24674,1035,5053.47306315172
"3744","ZINC17751881","LSM-43052","MLS003370625","MCF7",0.177,0.889,1.25e-06,984,25971,5055.24124053442
"3745","ZINC03191047","LSM-2987","MLS002454457","MCF7",0.277,0.845,1.19e-07,2747,9305,5055.7724434551
"3746","ZINC32094922","LSM-3789","SCHEMBL3363896","VCAP",0.249,0.797,3.91e-08,6743,3794,5057.95828373465
"3747","ZINC62850268","LSM-37227","Tributyltin Chloride","HA1E",0.269,0.897,4.91e-06,799,32019,5057.98190981344
"3748","ZINC64252865","LSM-2171","Tremorine","HT29",0.299,0.9,1.93e-05,734,34860,5058.38314088603
"3749","ZINC36945999","LSM-4621","6,2'-Dimethoxyflavone","ASC",0.244,0.887,1.16e-06,1003,25525,5059.79989722914
"3750","ZINC39604250","LSM-3058","4-(4-Octadecylphenyl)-4-oxobut-2-enoic acid","PC3",0.285,0.716,1.49e-08,18580,1378,5059.96442675243
"3751","ZINC08280163","LSM-6272","Lonidamine","SW620",0.264,0.712,1.44e-08,19309,1326,5060.01324108939
"3752","ZINC63281361","LSM-1271","MLS003221411","HT29",0.286,0.813,5.21e-08,5129,4995,5061.55657876112
"3753","ZINC33366410","LSM-3245","VU0405166-2","VCAP",0.186,0.755,2.17e-08,12216,2098,5062.52585178585
"3754","ZINC35730767","LSM-45912","Mozavaptan","YAPC",0.241,0.706,1.38e-08,20346,1260,5063.19661873801
"3755","ZINC08903373","LSM-2263","MLS002699918","PC3",0.241,0.873,3.94e-07,1425,18008,5065.70824268433
"3756","ZINC39637440","LSM-12093","BRD-K60637442","A549",0.209,0.857,1.72e-07,2176,11793,5065.72482474127
"3757","ZINC13661935","LSM-2382","UNII-BXU45ZH6LI","PC3",0.308,0.878,5.38e-07,1256,20438,5066.56964819393
"3758","ZINC63907615","LSM-4868","AB00540134","HCC515",0.31,0.831,8.06e-08,3655,7026,5067.546743741
"3759","ZINC38890369","LSM-1179","OSI-930","SKL",0.274,0.812,5.16e-08,5201,4938,5067.79419471628
"3760","ZINC38650268","LSM-2954","12K-516S","HA1E",0.232,0.836,9.08e-08,3346,7679,5068.91842506861
"3761","ZINC38548053","LSM-36808","KUC111109N","PC3",0.265,0.765,2.46e-08,10775,2385,5069.35646803418
"3762","ZINC38965042","LSM-4641","4-Ethoxy-n-[3-(phenylamino)quinoxalin-2-yl]benzenesulfonamide","PC3",0.298,0.846,1.27e-07,2652,9710,5074.53643203002
"3763","ZINC18106908","LSM-4574","ST50073310","ASC",0.278,0.875,4.64e-07,1336,19313,5079.58344748858
"3764","ZINC11916701","LSM-4726","3-Chloro-n-{3-[(furan-2-ylmethyl)carbamoyl]-5,6-dihydro-4H-cyclopenta[b]thiophen-2-yl}-1-benzothiophene-2-carboxamide","A549",0.266,0.739,1.83e-08,14764,1748,5080.1055107153
"3765","ZINC44728482","LSM-39777","BRD-K45235808","PC3",0.209,0.753,2.13e-08,12566,2054,5080.40982598845
"3766","ZINC08712894","LSM-2795","WAY-170523","PC3",0.247,0.827,7.24e-08,3976,6493,5080.96132636335
"3767","ZINC15839178","LSM-37210","IWP 2","NEU",0.236,0.691,1.25e-08,22889,1128,5081.21953865408
"3768","ZINC24852309","LSM-45249","Dabigatran Etexilate","MCF7",0.248,0.704,1.37e-08,20694,1248,5081.93978712853
"3769","ZINC19938450","LSM-45995","Temoporfin","HELA",0.291,0.838,9.82e-08,3176,8140,5084.54914422115
"3770","ZINC08594302","LSM-4335","Doxazosin","HT29",0.23,0.726,1.64e-08,16888,1531,5084.83313393861
"3771","ZINC33269302","LSM-3809","Gliquidone","A549",0.251,0.684,1.2e-08,24031,1076,5085.0128810063
"3772","ZINC44767612","LSM-2171","Tremorine","HT29",0.299,0.9,3.22e-05,732,35383,5089.23923587799
"3773","ZINC64871189","LSM-3498","SB-431542","PC3",0.245,0.779,3.01e-08,8859,2925,5090.43956844593
"3774","ZINC09685047","LSM-42816","MLS-0425579.0001","VCAP",0.267,0.813,5.28e-08,5132,5051,5091.33892016629
"3775","ZINC59310143","LSM-3657","Telmisartan","MCF7",0.277,0.791,3.6e-08,7413,3498,5092.21700244599
"3776","ZINC09516974","LSM-1985","2-Phenyl-n-[4-(1,3-thiazol-2-ylsulfamoyl)phenyl]quinoline-4-carboxamide","VCAP",0.24,0.793,3.72e-08,7182,3611,5092.56340166718
"3777","ZINC21632370","LSM-1174","SAR245409","ASC.C",0.264,0.8,4.16e-08,6393,4057,5092.77930014643
"3778","ZINC06102956","LSM-5344","Mocetinostat","PC3",0.374,0.859,2e-07,2013,12892,5094.27089974611
"3779","ZINC05534894","LSM-45859","XL335","YAPC",0.242,0.845,1.21e-07,2758,9416,5096.01098899914
"3780","ZINC16854840","LSM-4890","Troglitazone","VCAP",0.268,0.632,9.78e-09,31066,836,5096.19230406389
"3781","ZINC04618357","LSM-42868","MLS-0091943.0001","HEPG2",0.229,0.848,1.34e-07,2580,10070,5097.11683209243
"3782","ZINC43209903","LSM-4193","Droperidol","HCC515",0.272,0.667,1.1e-08,26707,973,5097.63778626924
"3783","ZINC13858083","LSM-1164","CHEMBL3182395","ASC",0.259,0.882,7.34e-07,1149,22629,5099.09021296937
"3784","ZINC11854900","LSM-45209","XMD15-27","SKBR3",0.268,0.836,9.27e-08,3333,7803,5099.74499362468
"3785","ZINC38688614","LSM-37184","Alisertib","MCF7",0.284,0.841,1.08e-07,2998,8678,5100.65133095765
"3786","ZINC32929420","LSM-3955","LY456236","NPC",0.316,0.891,1.91e-06,920,28280,5100.74504361863
"3787","ZINC05516249","LSM-4830","AC1LEEJB","PHH",0.22,0.899,8.75e-06,776,33533,5101.13791227016
"3788","ZINC18324071","LSM-2239","Benzbromarone","MCF7",0.267,0.9,2.59e-05,740,35187,5102.78159438556
"3789","ZINC01771803","LSM-4923","BIX-01338","MCF7",0.169,0.826,7.07e-08,4085,6377,5103.92447044429
"3790","ZINC32105719","LSM-2935","Daidzein","A549",0.216,0.868,3.04e-07,1631,15973,5104.11236161588
"3791","ZINC31768145","LSM-45677","MK-8033","HA1E",0.278,0.807,4.72e-08,5703,4569,5104.60644908106
"3792","ZINC59170726","LSM-1201","NVP-BHG712","PC3",0.345,0.857,1.92e-07,2068,12613,5107.21881262199
"3793","ZINC06195248","LSM-1194","TIE2 Kinase Inhibitor","NEU",0.244,0.878,5.45e-07,1272,20508,5107.46277519474
"3794","ZINC14478430","LSM-4224","MLS003271342","VCAP",0.295,0.84,1.05e-07,3063,8519,5108.19899768989
"3795","ZINC40056977","LSM-42873","Cdc","A549",0.3,0.86,2.13e-07,1952,13369,5108.45260328409
"3796","CHEMBL332333","LSM-2458","MLS003568130","MCF7",0.231,0.761,2.38e-08,11334,2303,5109.03141505315
"3797","ZINC38862878","LSM-45726","Inolitazone (dihydrochloride)","MCF7",0.27,0.766,2.54e-08,10624,2461,5113.28309406002
"3798","ZINC08770076","LSM-42297","SA-1920722","MCF7",0.223,0.642,1.01e-08,30092,869,5113.70198584157
"3799","ZINC38563922","LSM-42778","Neratinib","YAPC",0.323,0.83,7.98e-08,3746,6983,5114.52030986289
"3800","ZINC63361940","LSM-4909","MAYBRIDGE4_001867","HEPG2",0.213,0.778,2.96e-08,9102,2874,5114.60145074863
"3801","ZINC00863467","LSM-1143","Trametinib","MCF10A",0.287,0.836,9.38e-08,3322,7877,5115.40751064859
"3802","ZINC39912172","LSM-5829","IC-87114","VCAP",0.277,0.845,1.23e-07,2746,9530,5115.60162639743
"3803","ZINC01121728","LSM-1680","Metolazone","HELA",0.259,0.875,4.7e-07,1349,19400,5115.72086806933
"3804","ZINC64920281","LSM-5616","Flupirtine","A549",0.167,0.882,7.06e-07,1171,22364,5117.44506565532
"3805","ZINC36499866","LSM-36628","BCB03_000263","MCF7",0.42,0.734,1.78e-08,15487,1691,5117.4717390524
"3806","ZINC05343562","LSM-1014","GW843682X","HS578T",0.3,0.806,4.68e-08,5776,4535,5118.02305582927
"3807","ZINC44906134","LSM-2358","SMR000132203","MCF7",0.311,0.75,2.14e-08,12681,2066,5118.49059782276
"3808","ZINC40397155","LSM-5533","Acetaminophen","HELA",0.212,0.9,1.67e-05,756,34659,5118.8088458156
"3809","ZINC05343562","LSM-1014","GW843682X","HS578T",0.3,0.806,4.68e-08,5777,4536,5119.03037693663
"3810","ZINC64788143","LSM-2095","Sericetin","VCAP",0.183,0.855,1.68e-07,2260,11603,5120.81829398388
"3811","ZINC18196268","LSM-4899","ST014147","VCAP",0.285,0.845,1.24e-07,2742,9566,5121.52047735826
"3812","ZINC39668460","LSM-2906","Ritanserin","HCC515",0.236,0.719,1.55e-08,18154,1445,5121.77020179547
"3813","ZINC54643543","LSM-2220","MLS003128611","VCAP",0.258,0.731,1.73e-08,16080,1632,5122.74926187101
"3814","ZINC13023073","LSM-45820","Letermovir","MCF7",0.216,0.795,3.86e-08,6994,3753,5123.32723920696
"3815","ZINC12041789","LSM-4755","N-(3-Cyano-4,5,6,7-tetrahydro-1-benzothiophen-2-yl)-2-{[3-cyano-6-(thiophen-2-yl)pyridin-2-yl]sulfanyl}acetamide","HCC515",0.162,0.706,1.4e-08,20435,1285,5124.35117844201
"3816","ZINC38660061","LSM-45280","Hoechst 33258","HA1E",0.282,0.867,2.98e-07,1663,15794,5124.98019508368
"3817","ZINC11438397","LSM-1320","MLS000717682","HA1E",0.272,0.709,1.44e-08,19795,1327,5125.22828759851
"3818","ZINC35955450","LSM-6211","CHEMBL416418","HT29",0.276,0.8,4.24e-08,6360,4133,5126.97571673594
"3819","ZINC36138822","LSM-5533","Acetaminophen","HELA",0.212,0.9,1.7e-05,758,34679,5127.05392988995
"3820","ZINC20201608","LSM-3597","Carbazole, 9-(4-methylbenzoyl)-","VCAP",0.218,0.859,1.98e-07,2050,12828,5128.09906300571
"3821","ZINC08859964","LSM-36810","KUC111774N","PC3",0.338,0.725,1.66e-08,16943,1553,5129.56908521564
"3822","ZINC01874803","LSM-45952","Dihydroorotate Dehydrogenase Inhibitor, Brequinar","MCF7",0.168,0.805,4.57e-08,5947,4428,5131.59975056512
"3823","ZINC06122345","LSM-43098","SU-11652","HA1E",0.347,0.857,1.96e-07,2064,12762,5132.32578856799
"3824","ZINC12155048","LSM-42816","MLS-0425579.0001","VCAP",0.267,0.789,3.54e-08,7638,3450,5133.33225108214
"3825","ZINC52095016","LSM-5875","Triclabendazole","VCAP",0.203,0.9,1.7e-05,760,34680,5133.88741598411
"3826","ZINC18167142","LSM-2708","SMR000178575","HA1E",0.236,0.823,6.75e-08,4299,6135,5135.59782303872
"3827","ZINC18167142","LSM-2708","SMR000178575","HA1E",0.236,0.823,6.75e-08,4300,6136,5136.61367050316
"3828","ZINC38971394","LSM-4641","4-Ethoxy-n-[3-(phenylamino)quinoxalin-2-yl]benzenesulfonamide","PC3",0.298,0.851,1.54e-07,2400,11001,5138.32657584159
"3829","ZINC22053218","LSM-5710","2-(Ethylmercuriothio)benzoic acid","PC3",0.225,0.9,2.21e-05,754,35035,5139.68773370523
"3830","ZINC00885817","LSM-39222","BRD-K35638681","A549",0.322,0.783,3.24e-08,8381,3152,5139.73851474956
"3831","ZINC52213570","LSM-2171","Tremorine","HT29",0.299,0.9,0.000236,731,36143,5140.0907579536
"3832","ZINC04502005","LSM-36991","CHEMBL214378","SKBR3",0.316,0.808,4.88e-08,5612,4711,5141.80240771658
"3833","ZINC13896423","LSM-1271","MLS003221411","HT29",0.286,0.827,7.54e-08,3954,6687,5142.02275374196
"3834","ZINC13896423","LSM-1271","MLS003221411","HT29",0.286,0.827,7.54e-08,3955,6688,5143.05745641637
"3835","ZINC39695821","LSM-41085","BRD-K70153099","VCAP",0.257,0.634,1e-08,30865,857,5143.08321923727
"3836","ZINC17838129","LSM-1220","U0126","HCC515",0.267,0.804,4.57e-08,5984,4429,5148.11965672905
"3837","ZINC36155999","LSM-4487","Alpha-Tochopherol","A549",0.202,0.897,5.59e-06,818,32402,5148.2847629089
"3838","ZINC39665387","LSM-3121","GR-103691","MCF7",0.177,0.725,1.65e-08,17145,1546,5148.41431899182
"3839","ZINC03991118","LSM-4203","VU0418000-1","VCAP",0.305,0.884,9.41e-07,1093,24255,5148.8556981139
"3840","ZINC39920712","LSM-4862","MLS-0315871.0001","VCAP",0.259,0.875,4.87e-07,1347,19694,5150.51628480097
"3841","ZINC05605185","LSM-4106","1-(3-Chlorophenyl)-4-hexylpiperazine","MCF7",0.208,0.895,3.76e-06,852,31136,5150.52152699122
"3842","ZINC02082144","LSM-3826","TCS-359","A549",0.171,0.627,9.86e-09,31549,841,5150.99106968746
"3843","ZINC39916281","LSM-4899","ST014147","VCAP",0.285,0.885,1.03e-06,1070,24798,5151.10279454798
"3844","ZINC22568043","LSM-1873","MLS002264411","HCC515",0.257,0.865,2.76e-07,1746,15206,5152.63777108386
"3845","ZINC28051597","LSM-4378","AG-205/37023070","VCAP",0.275,0.824,6.98e-08,4208,6310,5152.90985754651
"3846","ZINC66159850","LSM-5533","Acetaminophen","HELA",0.212,0.9,2.33e-05,757,35079,5153.13525923782
"3847","ZINC09094406","LSM-37130","CHEMBL569102","NEU",0.258,0.867,3e-07,1675,15854,5153.19803617132
"3848","ZINC12779816","LSM-2792","12K-613S","PC3",0.284,0.836,9.55e-08,3329,7979,5153.84235304108
"3849","ZINC39836265","LSM-2409","CHEMBL2057940","MCF7",0.258,0.691,1.28e-08,22862,1162,5154.18703579915
"3850","ZINC38681944","LSM-45280","Hoechst 33258","HA1E",0.282,0.862,2.36e-07,1887,14085,5155.42384290564
"3851","ZINC39684142","LSM-39847","BRD-K46532981","VCAP",0.318,0.763,2.5e-08,10990,2419,5156.04596566012
