"LINCS Candidate Name","Candidate LSM ID","Cell Line","Concordance"
"AC1MCK5A","LSM-2707","HEPG2",0.291
"BRD-K97955841","LSM-43504","VCAP",0.291
"GSK-J2","LSM-44940","ASC.C",0.291
"SCHEMBL6851809","LSM-43061","NCIH2073",0.291
"CHEMBL3188944","LSM-6296","HS578T",0.291
"Dequalinium","LSM-5846","MCF7",0.291
"ZINC01181459","LSM-4655","VCAP",0.291
"BRD-K58784778","LSM-6794","ASC",0.291
"BRD-K79797751","LSM-41627","A375",0.291
"PF750","LSM-6277","RKO",0.291
"Clonidine","LSM-4223","T3M10",0.291
"Tubocurarine","LSM-4245","HT29",0.291
"BRD-K66809950","LSM-7740","VCAP",0.291
"BRD-K80408402","LSM-13344","VCAP",0.291
"Methapyrilene","LSM-5582","HA1E",0.291
"BRD-K40988761","LSM-39535","VCAP",0.291
"BRD-K44787412","LSM-11154","VCAP",0.291
"BRD-K06370852","LSM-8797","A375",0.291
"Ziprasidone","LSM-5433","HELA",0.291
"84215-10-1","LSM-3529","A375",0.291
"BRD-K59805090","LSM-40544","VCAP",0.291
"KUC103670","LSM-2549","PC3",0.29
"SCHEMBL17497408","LSM-44607","HA1E",0.29
"BRD-K30837577","LSM-10288","PC3",0.29
"BRD-K24319929","LSM-38599","VCAP",0.29
"BRD-K30794866","LSM-10284","A375",0.29
"BRD-K19917828","LSM-9635","VCAP",0.29
"BRD-K34786682","LSM-10521","VCAP",0.29
"SA-1938867","LSM-40097","MCF7",0.29
"BRD-K89699317","LSM-13965","VCAP",0.29
"BRD-K38187891","LSM-43470","VCAP",0.29
"BRD-M58317392","LSM-45049","VCAP",0.29
"Triazolothiadiazine, 30","LSM-2867","HT29",0.29
"Mofezolac","LSM-4647","VCAP",0.29
"Digoxigenin","LSM-2405","A549",0.29
"CHEMBL105897","LSM-4005","HA1E",0.29
"Hydroxyprogesterone Caproate","LSM-4900","HA1E",0.29
"MLS002607717","LSM-2959","A375",0.29
"ABT-751","LSM-6285","HEC108",0.29
"Quinidine","LSM-3325","PC3",0.29
"Trimipramine","LSM-1371","HCC515",0.29
"BRD-K55009937","LSM-11762","VCAP",0.29
"Almorexant (hydrochloride)","LSM-45611","HELA",0.29
"MLS002264409","LSM-1287","PC3",0.29
"BRD-K10721194","LSM-9077","VCAP",0.29
"BRD-K55065943-001-01-0","LSM-11765","VCAP",0.29
"BRD-A59145032","LSM-36421","NPC",0.29
"Zaprinast","LSM-2259","VCAP",0.29
"Veratridine","LSM-3354","VCAP",0.29
"3-{3-[(1,3-Benzothiazol-2-ylsulfanyl)methyl]-4-hydroxy-5-methoxyphenyl}-2-cyanoprop-2-enamide","LSM-2158","PC3",0.29
"CHEMBL1201939","LSM-1399","NPC",0.29
"SCHEMBL15422032","LSM-43336","A549",0.29
"Triclosan","LSM-2929","A375",0.29
"Hydrocortisone","LSM-5980","VCAP",0.29
"NNC 26-9100","LSM-2163","HCC515",0.29
"T6129388","LSM-2451","MCF7",0.29
"MLS002276465","LSM-3644","HA1E",0.29
"BRD-K60093216","LSM-6133","VCAP",0.29
"MLS002703113","LSM-3465","HEPG2",0.29
"Pyrilamine","LSM-4206","A549",0.29
"MLS002264453","LSM-2143","A375",0.29
"AC1LNRY5","LSM-2542","MCF7",0.29
"Ethylbeta-carboline-3-carboxylate","LSM-3077","VCAP",0.29
"BRD-K01520647","LSM-8528","VCAP",0.29
"BMY-14802","LSM-1339","A375",0.29
"MLS000676065","LSM-2793","HEPG2",0.29
"KW-2449","LSM-42803","MCF7",0.29
"SUGA1_016079","LSM-36741","VCAP",0.29
"Refametinib","LSM-45886","YAPC",0.29
"BRD-K95722922","LSM-14299","VCAP",0.29
"Pelitinib","LSM-42796","MCF10A",0.29
"Propafenone","LSM-1416","HT29",0.29
"BRD-K88899793","LSM-42115","A549",0.29
"CHEMBL2134949","LSM-40355","A549",0.29
"Dolastatin 10","LSM-45943","YAPC",0.29
"4-Methoxy-2-(4-propoxyphenyl)quinazoline","LSM-3300","PC3",0.29
"CHEMBL1609579","LSM-4088","MCF7",0.29
"4449-51-8","LSM-4304","HA1E",0.29
"Tripelennamine","LSM-3271","HA1E",0.29
"MW-STK33-100","LSM-44614","THP1",0.29
"BRD-K38596298","LSM-39393","HT29",0.29
"BRD-K31975688","LSM-10368","A549",0.29
"AC1MG5VA","LSM-4653","HCC515",0.29
"GSK-3 Inhibitor II","LSM-1030","A549",0.29
"RO 04-6790","LSM-2960","HT29",0.29
"BRD-K53327986","LSM-6127","VCAP",0.29
"BRD-K99433267","LSM-42652","HA1E",0.289
"BRD-K01146969","LSM-8503","A549",0.289
"Aurora A Inhibitor I","LSM-1065","MCF7",0.289
"CHEMBL1407957","LSM-2400","A549",0.289
"BRD-K46533463","LSM-11269","A375",0.289
"8-Methoxymethyl-ibmx","LSM-3194","VCAP",0.289
"NSC25485","LSM-1580","NPC",0.289
"BRD-K94597513","LSM-8057","VCAP",0.289
"BRD-K92770212","LSM-14114","VCAP",0.289
"Lisinopril","LSM-5756","YAPC",0.289
"CHEMBL78012","LSM-37134","FIBRNPC",0.289
"GW9508","LSM-3604","MCF7",0.289
"BRD-K16227029","LSM-38123","VCAP",0.289
"CHEMBL2362931","LSM-40792","VCAP",0.289
"N-(3-Chloro-4-fluorophenyl)-5-(pyridin-4-yl)-1,3,4-thiadiazol-2-amine","LSM-3172","A549",0.289
"TIBOLONE","LSM-45847","HA1E",0.289
"BRD-K13324372","LSM-9229","VCAP",0.289
"Sepantronium","LSM-5399","HA1E",0.289
"Amlodipine","LSM-1388","PC3",0.289
"Zileuton","LSM-5084","MCF7",0.289
"BRD-K86413298","LSM-41984","MCF7",0.289
"ZINC04171744","LSM-3586","HT29",0.289
"CHEMBL2133926","LSM-6788","VCAP",0.289
"BRD-K02734624","LSM-8607","VCAP",0.289
"BRD-A80960055-001-01-7","LSM-5162","PC3",0.289
"NO-711","LSM-2939","A549",0.289
"88495-63-0","LSM-5859","A549",0.289
"Hymecromone","LSM-3025","HT29",0.289
"CARGLUMIC ACID","LSM-45453","PC3",0.289
"MLS002729053","LSM-3973","A549",0.289
"BRD-K05322955","LSM-37553","VCAP",0.289
"SCHEMBL4098081","LSM-5539","MCF7",0.289
"3,5-Bis(4-methylbenzylidene)piperidin-4-one","LSM-2827","NPC",0.289
"Racecadotril","LSM-1286","HELA",0.289
"Vemurafenib","LSM-1068","HCT116",0.289
"Nobiletin","LSM-2130","HCC515",0.289
"BRD-K07790303","LSM-8897","VCAP",0.289
"KUC103874","LSM-3746","PC3",0.289
"CHEMBL2360506","LSM-6783","VCAP",0.289
"LOPAC-L-133","LSM-2633","SKB",0.289
"PP-30","LSM-6238","HEC108",0.289
"16Beta-bromoandrosterone","LSM-6294","EFO27",0.289
"CHEMBL2142684","LSM-40126","VCAP",0.289
"CAM-9-021","LSM-2100","VCAP",0.289
"BRD-K79153888","LSM-13265","A375",0.289
"BRD-K91924645","LSM-14078","HT29",0.289
"CHEMBL2356693","LSM-6781","A549",0.289
"BRD-K46047563","LSM-39824","VCAP",0.289
"AC1LWZG4","LSM-2387","CL34",0.289
"Lonafarnib","LSM-45716","MCF7",0.289
"CHEMBL3183893","LSM-44834","HT29",0.289
"Tamoxifen","LSM-42959","SW620",0.289
"Vitamin P","LSM-1477","VCAP",0.289
"Canrenoate","LSM-3029","A549",0.289
"Novobiocin","LSM-5910","PC3",0.289
"Tyrphostin B46","LSM-3628","HCC515",0.289
"SA-89210","LSM-38622","MCF7",0.289
"(R)-(-)-Jq1 enantiomer","LSM-6333","A549",0.289
"Eprosartan","LSM-43101","A375",0.289
"BRD-K23050218","LSM-9825","VCAP",0.289
"BRD-K63513868","LSM-45333","U937",0.288
"BRD-K49956785","LSM-11467","VCAP",0.288
"AC1MYETK","LSM-2766","MCF7",0.288
"Zamifenacin","LSM-3811","VCAP",0.288
"Altretamine","LSM-3492","A549",0.288
"BRD-K71195237","LSM-12775","VCAP",0.288
"BRD-K38517635","LSM-10761","A375",0.288
"BRD-K68887696","LSM-12634","A549",0.288
"BRD-K54673054","LSM-44792","MCF7",0.288
"RHO Kinase Inhibitor II","LSM-3032","A375",0.288
"CHEMBL2358136","LSM-38583","MCF7",0.288
"D-LACTITOL MONOHYDRATE","LSM-45798","YAPC",0.288
"SA-427730","LSM-40726","MCF7",0.288
"Cyproheptadine","LSM-5419","MCF7",0.288
"SMR000206948","LSM-1366","A549",0.288
"Tiagabine","LSM-5700","HT29",0.288
"MLS002607708","LSM-3614","HCC515",0.288
"ITK Inhibitor","LSM-1043","NPC.CAS9",0.288
"CHEMBL1552755","LSM-1942","HT29",0.288
"CHEMBL578162","LSM-2638","VCAP",0.288
"KUC103423N","LSM-1819","VCAP",0.288
"MLS001065863","LSM-2721","HCC515",0.288
"BRD-K74162965","LSM-12969","VCAP",0.288
"BRD-K23211153","LSM-38533","A549",0.288
"BRD-K73388067","LSM-14915","A375",0.288
"BRD-K25420921","LSM-9972","VCAP",0.288
"BRD-K23958338","LSM-9875","VCAP",0.288
"BRD-M91342002","LSM-45080","VCAP",0.288
"Orphenadrine","LSM-1630","HELA",0.288
"Sunitinib","LSM-42800","HCC515",0.288
"AZD7762","LSM-45536","YAPC",0.288
"Pirenzepine","LSM-4001","HT29",0.288
"Talampicillin","LSM-1304","HEPG2",0.288
"Amidate","LSM-1640","PC3",0.288
"BRD-K48723823","LSM-39980","VCAP",0.288
"MEK1/2 Inhibitor","LSM-42879","HCC515",0.288
"MLS003178534","LSM-4030","HT29",0.288
"BRD-K87967738","LSM-42068","VCAP",0.288
"AT 7867","LSM-1155","SKL.C",0.288
"BRD-K20019319","LSM-7112","VCAP",0.288
"Splitomicin","LSM-2607","A375",0.288
"INOSITOL","LSM-45237","PC3",0.288
"SJ 172550","LSM-43286","HA1E",0.288
"MLS003587254","LSM-43332","A549",0.288
"Pterostilbene","LSM-43245","VCAP",0.288
"Dihydro-Beta-Tubaic acid","LSM-4177","HCC515",0.288
"BRD-K63077891","LSM-40719","VCAP",0.288
"AC1NPD0F","LSM-1463","MCF7",0.288
"BRD-K18310625","LSM-9527","VCAP",0.288
"MLS-0002494.0001","LSM-2762","VCAP",0.288
"Hesperidin","LSM-45813","HA1E",0.288
"Brivanib","LSM-5421","MCF7",0.288
"JWH-015","LSM-2386","A549",0.288
"AZD-1152-HQPA","LSM-1067","HS578T",0.288
"CHEMBL2361748","LSM-6831","VCAP",0.288
"BRD-K47586560","LSM-39910","A375",0.288
"Ritonavir","LSM-5623","HA1E",0.288
"BRD-K69021489","LSM-41025","HT29",0.288
"Pracinostat","LSM-43290","PC3",0.288
"Midodrine","LSM-1815","HCC515",0.288
"BRD-K00715257","LSM-37323","MCF7",0.288
"MLS002264419","LSM-3651","A375",0.288
"BRD-K38725747","LSM-39400","MCF7",0.287
"Topiramate","LSM-5435","A549",0.287
"BRD-K84336022","LSM-13584","VCAP",0.287
"BRD-K00518397","LSM-37311","PC3",0.287
"MLS001065846","LSM-4111","VCAP",0.287
"ZM323881","LSM-3513","HCC515",0.287
"Emapunil","LSM-45673","PC3",0.287
"STK111867","LSM-1889","PC3",0.287
"SA-1973507","LSM-6829","VCAP",0.287
"BRD-K18823018","LSM-38277","A549",0.287
"4LY1","LSM-6529","MCF7",0.287
"CHEMBL1394028","LSM-2475","HCC515",0.287
"BRD-K04733502","LSM-37529","HT29",0.287
"BRD-K63270352","LSM-8307","VCAP",0.287
"Benzonatate","LSM-4052","A375",0.287
"Isoflupredone Acetate","LSM-2641","A549",0.287
"Bonuten","LSM-5558","VCAP",0.287
"MLS000095263","LSM-2723","HA1E",0.287
"Clotrimazole","LSM-5341","HA1E",0.287
"BRD-K93112400","LSM-14140","VCAP",0.287
"BRD-K65261396-002-01-3","LSM-43224","VCAP",0.287
"Roquinimex","LSM-2046","A375",0.287
"Tipifarnib","LSM-6258","HT29",0.287
"Trametinib","LSM-1143","MCF10A",0.287
"CEP-18770 (Delanzomib)","LSM-45410","A375",0.287
"BRD-K59862677","LSM-40547","VCAP",0.287
"BG-1017","LSM-37144","FIBRNPC",0.287
"Fluocinolone Acetonide","LSM-5988","HA1E",0.287
"TSU-68","LSM-43215","PC3",0.287
"MLS000698406","LSM-1572","HCC515",0.287
"BRD-K18396390","LSM-38254","A375",0.287
"BRL-37344","LSM-2146","A375",0.287
"BRD-K47906330","LSM-15142","VCAP",0.287
"BRD-K19534956","LSM-14746","VCAP",0.287
"BRD-K95842463","LSM-42472","A375",0.287
"Cyclosporine","LSM-42817","NPC",0.287
"SR-02000000240","LSM-3680","HEPG2",0.287
"BRD-K82440152","LSM-41777","VCAP",0.287
"Linsitinib","LSM-1135","SKBR3",0.287
"BRD-K05456756","LSM-45349","PC3",0.287
"Gliclazide","LSM-5096","A375",0.287
"MLS001060778","LSM-2982","MCF7",0.287
"N-Benzyl-1-(3-chlorobenzyl)-n-methylpiperidine-3-carboxamide","LSM-1845","PC3",0.287
"BRD-K43874853","LSM-11108","VCAP",0.287
"Spiperone","LSM-3235","VCAP",0.287
"BRD-K98626176","LSM-15011","MCF7",0.287
"Devazepide","LSM-2674","MCF7",0.287
"BRD-K03257659","LSM-14687","NEU",0.287
"FK888","LSM-3876","A549",0.287
"Ethyl eburnamenine-14-carboxylate","LSM-1372","HEPG2",0.287
"E-3810","LSM-45728","HELA",0.287
"SA-90377","LSM-40102","PC3",0.287
"BRD-K89793492","LSM-42164","A549",0.287
"Chicago Sky Blue","LSM-5668","PC3",0.287
"BRD-K99902401","LSM-14567","HT29",0.287
"Syrosingopine","LSM-2297","A549",0.287
"BRD-K23582869-001-01-3","LSM-38556","A549",0.287
"BRD-K64272762","LSM-40776","PC3",0.287
"BRD-K27775808","LSM-38783","VCAP",0.287
"BRD-K90173466","LSM-13992","VCAP",0.287
"AKOS021983165","LSM-5339","PC3",0.287
"CHEMBL436817","LSM-6200","SW948",0.287
"BRD-K61341215-004-01-2","LSM-5709","A549",0.287
"Amlexanox","LSM-5432","A375",0.286
"Fluphenazine","LSM-3226","VCAP",0.286
"PFI-1","LSM-6331","HCC515",0.286
"BRD-K37434447","LSM-10690","VCAP",0.286
"BRD-K41539131","LSM-10949","A549",0.286
"BAS 02002358","LSM-1843","COV644",0.286
"BRD-K70901996","LSM-41133","VCAP",0.286
"SA-1919918","LSM-37759","MCF7",0.286
"Triazine Scaffold, 39","LSM-3516","VCAP",0.286
"L-745870","LSM-2098","MCF7",0.286
"MEGXP0_001010","LSM-44579","HCC515",0.286
"Nefopam","LSM-1811","NPC",0.286
"MLS002607670","LSM-2979","HT29",0.286
"KUC104133","LSM-3981","HCC515",0.286
"Talipexole","LSM-3687","A549",0.286
"MLS003221411","LSM-1271","HT29",0.286
"CHEMBL1271119","LSM-2543","A375",0.286
"N-[2-Chloro-5-(trifluoromethyl)phenyl]-5-(pyridin-4-yl)-1,3,4-thiadiazol-2-amine","LSM-2109","A549",0.286
"Riboflavin","LSM-4084","A549",0.286
"MLS000948280","LSM-6563","PC3",0.286
"CHEMBL1555138","LSM-3692","A375",0.286
"BRD-K74046820","LSM-14920","VCAP",0.286
"SNS-314","LSM-5795","SKB",0.286
"BRD-K43626867","LSM-11090","VCAP",0.286
"LY 2183240","LSM-2839","NPC",0.286
"Ditolylguanidine","LSM-2732","HT29",0.286
"CHEMBL198368","LSM-1382","A549",0.286
"BRD-K84023371","LSM-15058","VCAP",0.286
"BRD-K29946363","LSM-38902","A375",0.286
"SCHEMBL17783951","LSM-37701","MCF7",0.286
"BRD-K71746704","LSM-3609","VCAP",0.286
"Dicloxacillin","LSM-5234","MCF7",0.286
"CHEMBL3183722","LSM-41396","A549",0.286
"127408-30-4","LSM-2947","HT29",0.286
"BRD-M66254575","LSM-45056","MCF7",0.286
"SPECTRUM_000897","LSM-1378","HA1E",0.286
"BRD-K95052025","LSM-42420","MCF7",0.286
"(1S,2R)-Phenylpropanolamine","LSM-5416","MCF7",0.286
"BAY 61-3606","LSM-1167","HS578T",0.286
"BRD-K82881395","LSM-7914","VCAP",0.286
"Rhodomyrtoxin B","LSM-1285","HT29",0.286
"BRD-K28668737","LSM-10169","VCAP",0.286
"VU0420364-1","LSM-3965","VCAP",0.286
"SA-85290","LSM-38117","MCF7",0.286
"BRD-A32440707","LSM-45970","A375",0.286
"SMR000220152","LSM-45120","HCC515",0.286
"AM-92016","LSM-1319","HEPG2",0.286
"Nicaraven","LSM-45966","YAPC",0.286
"BRD-K44341698","LSM-11131","VCAP",0.286
"BRD-K74553461","LSM-12995","VCAP",0.286
"CHEMBL1938917","LSM-3934","HCC515",0.286
"Procarbazine","LSM-2272","PC3",0.286
"N-Acetyl-d-leucine","LSM-5235","PC3",0.286
"SR-03000000931-1","LSM-2425","PC3",0.285
"CHEMBL1531854","LSM-2333","HCC515",0.285
"Vinpocetine","LSM-3178","HA1E",0.285
"SB239063","LSM-1036","MCF7",0.285
"Telbivudine","LSM-45942","HA1E",0.285
"4-(4-Octadecylphenyl)-4-oxobut-2-enoic acid","LSM-3058","PC3",0.285
"BRD-K59995645","LSM-8288","VCAP",0.285
"BRD-K46791751","LSM-39872","VCAP",0.285
"MLS000518920","LSM-6173","MCF7",0.285
"Manumycin-A","LSM-43075","MCF7",0.285
"CHEMBL2057216","LSM-2203","HEPG2",0.285
"BRD-K88328468","LSM-13857","VCAP",0.285
"BRD-K60004464","LSM-40552","HT29",0.285
"BRD-A68202111","LSM-45833","HA1E",0.285
"BRD-K61553312","LSM-8297","VCAP",0.285
"STK206352","LSM-6661","A549",0.285
"MD-041","LSM-43138","A549",0.285
"BRD-K78167523","LSM-3756","HEPG2",0.285
"BRD-K70068422","LSM-12706","VCAP",0.285
"SA-96816","LSM-41313","MCF7",0.285
"Flavokawain B","LSM-42931","VCAP",0.285
"CHEMBL2143936","LSM-6115","HCC515",0.285
"Mesalamine","LSM-5427","VCAP",0.285
"Mycophenolate Mofetil","LSM-43041","A549",0.285
"BRD-K58421169","LSM-40465","VCAP",0.285
"AC1MCK4U","LSM-3979","VCAP",0.285
"BRD-K32253397","LSM-39044","A549",0.285
"BRD-K46393778","LSM-11260","VCAP",0.285
"SKF96365","LSM-1766","MCF7",0.285
"Venlafaxine","LSM-1616","HEPG2",0.285
"ST50885743","LSM-4113","PC3",0.285
"SCHEMBL17457487","LSM-37207","FIBRNPC",0.285
"F1061-0166","LSM-4474","NPC",0.285
"Reserpine","LSM-4162","A375",0.285
"BRD-K74842589","LSM-41346","VCAP",0.285
"BRD-K27718415","LSM-10098","A549",0.285
"BRD-K61529775","LSM-40633","VCAP",0.285
"BRD-K08080638","LSM-8916","VCAP",0.285
"CHEMBL2001494","LSM-6630","MCF7",0.285
"BRD-K14302953","LSM-9292","VCAP",0.285
"MLS003129778","LSM-8338","VCAP",0.285
"BRD-K74647590","LSM-41336","VCAP",0.285
"BRD-K68522303","LSM-12608","MCF7",0.285
"Adiphenine","LSM-5704","MCF7",0.285
"SMR000130044","LSM-3765","VCAP",0.285
"BRD-K86979665","LSM-13762","VCAP",0.285
"BRD-K27824357","LSM-7202","VCAP",0.285
"SMR000651468","LSM-3706","A375",0.285
"MLS002473642","LSM-2544","HA1E",0.285
"Flurbiprofen","LSM-5174","PC3",0.285
"(S)-Nateglinide","LSM-3892","HT29",0.285
"ST014147","LSM-4899","VCAP",0.285
"BRD-K03245480","LSM-8634","A375",0.285
"Alpha-Solanine","LSM-3583","HA1E",0.285
"DM161","LSM-4139","HT29",0.284
"MLS003179191","LSM-4229","VCAP",0.284
"CHEMBL2141840","LSM-42619","VCAP",0.284
"BRD-K15973523","LSM-9385","A549",0.284
"BRD-K19944193","LSM-38340","A375",0.284
"Alisertib","LSM-37184","MCF7",0.284
"3,7-Bis(dimethylamino)phenothiazin-5-ium","LSM-4555","VCAP",0.284
"BRD-K32665240","LSM-10411","VCAP",0.284
"KUC103903N","LSM-3983","A375",0.284
"Avasimibe","LSM-45417","YAPC",0.284
"N-Formylmethionylalanine","LSM-1678","HA1E",0.284
"CID 6167421","LSM-44973","ASC",0.284
"ZINC00704339","LSM-2651","VCAP",0.284
"ACON1_002097","LSM-4527","HCC515",0.284
"Ifosfamide","LSM-5118","MCF7",0.284
"Celecoxib","LSM-2032","PC3",0.284
"Aminoglutethimide","LSM-1409","PC3",0.284
"SA-1456227","LSM-42676","MCF7",0.284
"Marimastat","LSM-45636","PC3",0.284
"AC1LA7UC","LSM-4480","HEPG2",0.284
"NCGC00012588","LSM-2552","VCAP",0.284
"2'-Deoxycytidine (hydrochloride)","LSM-45794","YAPC",0.284
"Rosiglitazone","LSM-1949","CL34",0.284
"Zaurategrast","LSM-45609","MCF7",0.284
"AC1MEVG9","LSM-3935","SW948",0.284
"BRD-K13559922","LSM-37967","A549",0.284
"MLS000094380","LSM-3180","PC3",0.284
"SMR000082310","LSM-2595","VCAP",0.284
"GDC-0068","LSM-45747","PC3",0.284
"Halometasone","LSM-5473","VCAP",0.284
"BRD-K65393151","LSM-36436","MCF7",0.284
"BRD-K20824632","LSM-38397","HT29",0.284
"PLX-4720","LSM-1049","MCF7",0.284
"Ozagrel","LSM-42902","YAPC",0.284
"BRD-K88373420","LSM-42088","A549",0.284
"CHEMBL179288","LSM-3648","NKDBA",0.284
"MLS000063258","LSM-2808","PC3",0.284
"ST072947","LSM-43087","NPC",0.284
"MLS002264363","LSM-2417","HT29",0.284
"BRD-K79579182","LSM-41613","PC3",0.284
"(S)-Zearalenone","LSM-44632","HA1E",0.284
"BRD-K73627655","LSM-12939","VCAP",0.284
"VU0424206-1","LSM-2295","VCAP",0.284
"CHEMBL1982510","LSM-6659","MCF7",0.284
"BRD-K22280018","LSM-38476","VCAP",0.284
"CHEMBL1515144","LSM-4023","PC3",0.284
"SPBIO_002239","LSM-6037","MCF7",0.284
"CHEMBL520231","LSM-43280","VCAP",0.284
"(3-Chlorophenyl)[4-(7-chloroquinolin-4-yl)piperazin-1-yl]methanone","LSM-3413","ASC",0.284
"12K-613S","LSM-2792","PC3",0.284
"SB-203580","LSM-1168","MCF7",0.284
"L-161,982","LSM-2875","HCC515",0.284
"BRD-K42968246","LSM-39632","A549",0.284
"Dipyrone","LSM-5839","A375",0.284
"Mupirocin","LSM-43176","A375",0.284
"BRD-K06806702","LSM-6944","VCAP",0.284
"BRD-K72354054","LSM-12866","HT29",0.284
"MLS003129913","LSM-10708","MCF7",0.284
"BD-1047","LSM-2810","NPC",0.284
"Metoclopramide","LSM-3689","VCAP",0.284
"BRD-K56975856","LSM-11878","MCF7",0.284
"BRD-K46205969","LSM-7436","VCAP",0.284
"Josamycin","LSM-46041","HELA",0.284
"BRD-K32297746","LSM-44735","PC3",0.284
"XE991","LSM-2949","VCAP",0.284
"BRD-K39654705","LSM-7354","VCAP",0.284
"SCHEMBL15422158","LSM-44565","A549",0.284
"MLS002699145","LSM-43017","VCAP",0.283
"Raloxifene","LSM-3425","MCF7",0.283
"BIBR-1532","LSM-43274","HEPG2",0.283
"BRD-K56124197","LSM-11820","A549",0.283
"Floxuridine","LSM-5588","A549",0.283
"SB-216763","LSM-1161","HS578T",0.283
"Seocalcitol","LSM-45464","MCF7",0.283
"Penitrem A","LSM-2058","YAPC",0.283
"SPECTRUM_001522","LSM-1487","ASC",0.283
"Phenylbutanoic acid","LSM-5751","MCF7",0.283
"BRD-K50984462","LSM-11540","VCAP",0.283
"Allantoin","LSM-5190","HEK293T",0.283
"ZK-93423","LSM-2741","VCAP",0.283
"MK 886","LSM-37008","MCF7",0.283
"MLS001116157","LSM-6175","MCF7",0.283
"CHEMBL2362352","LSM-9333","A549",0.283
"PRE-084","LSM-3278","HA1E",0.283
"Tenofovir","LSM-5340","PC3",0.283
"MLS003153124","LSM-3217","PC3",0.283
"BRD-K54652275","LSM-11748","VCAP",0.283
"CHEMBL3189023","LSM-12370","VCAP",0.283
"BRD-K25473383","LSM-9976","VCAP",0.283
"Nafadotride","LSM-1755","HEPG2",0.283
"Tosedostat","LSM-6286","SW948",0.283
"BRD-K60391168","LSM-12079","HT29",0.283
"BRD-K07877451","LSM-8903","VCAP",0.283
"BRD-K73434853","LSM-41258","VCAP",0.283
"MLS002699429","LSM-44942","PC3",0.283
"Tofacitinib","LSM-1227","VCAP",0.283
"9-Cis retinol","LSM-5317","NKDBA",0.283
"Heraclenol","LSM-4476","MCF7",0.283
"Carbinoxamine","LSM-1435","ASC",0.283
"Rifampicin","LSM-43162","PC3",0.283
"Phenyl Biguanide","LSM-4586","A375",0.283
"AKT Inhibitor IV","LSM-43091","A375",0.283
"BRD-K99380810-001-01-1","LSM-6787","HCC515",0.283
"Erythromycin Ethylsuccinate","LSM-3144","MCF7",0.283
"SA-1925621","LSM-42390","MCF7",0.283
"BRD-K39629581","LSM-10836","A549",0.283
"BRD-K02969269","LSM-37436","HCC515",0.283
"BRD-K47512679","LSM-39902","A375",0.283
"BRD-K10835142","LSM-9087","A375",0.283
"VU0415010","LSM-3334","HT29",0.283
"BRD-K61001510","LSM-40608","VCAP",0.283
"BRD-K81249836","LSM-41708","VCAP",0.283
"ZINC01069258","LSM-4767","VCAP",0.283
"9-Fluoro-11,17,21-trihydroxy-16-methylpregna-1,4-diene-3,20-dione","LSM-4412","HEPG2",0.283
"BRD-K13077924","LSM-45363","PC3",0.283
"BRD-K41700431","LSM-10962","A375",0.283
"BRD-K69892607","LSM-7784","VCAP",0.283
"Miconazole","LSM-5165","HA1E",0.283
"BRD-K19181733","LSM-38299","A549",0.283
"BRD-K10916986-001-01-6","LSM-5284","NPC",0.283
"BRD-K52099002","LSM-40147","A549",0.283
"CHEMBL2140476","LSM-38593","PC3",0.283
"BRD-K37849751","LSM-10721","VCAP",0.283
"SCHEMBL2573365","LSM-3671","HCC515",0.283
"ABACAVIR SULFATE","LSM-45963","A375",0.283
"Ellagic acid","LSM-36455","YAPC",0.283
"2-Deoxyglucose","LSM-37253","FIBRNPC",0.283
"BRD-K36490574","LSM-39267","VCAP",0.283
"BRD-K59248078","LSM-14873","A549",0.283
"BRD-K84047740","LSM-13564","VCAP",0.283
"Piperacillin","LSM-5924","MCF7",0.283
"KU-55933","LSM-1074","HS578T",0.283
"BRD-K60836534","LSM-12110","VCAP",0.283
"MGCD-265","LSM-1124","HUVEC",0.283
"BRD-K24175855","LSM-9891","VCAP",0.283
"CHEMBL2130605","LSM-22206","MCF7",0.283
"BRD-K81500599","LSM-41721","MCF7",0.283
"MLS002264377","LSM-2915","VCAP",0.283
"CHEMBL1456973","LSM-3515","HT29",0.283
"AO-476/43380301","LSM-4532","NPC",0.283
"BRD-K35944454","LSM-10588","VCAP",0.283
"MLS002222336","LSM-1855","HA1E",0.283
"AC1OA39F","LSM-2537","VCAP",0.283
"HOECHST-33342","LSM-2168","VCAP",0.283
"(+)-Timolol","LSM-15524","YAPC",0.283
"Dexchlorpheniramine","LSM-5517","VCAP",0.283
"BRD-K19696710","LSM-9620","VCAP",0.283
"Itrazole","LSM-5032","SW948",0.283
"CHEMBL2204241","LSM-36798","THP1",0.283
"BRD-K93666423","LSM-14170","VCAP",0.283
"BRD-K57836103","LSM-4910","HT29",0.283
"BRD-K71328603","LSM-41150","VCAP",0.283
"Wortmannin","LSM-1318","A549",0.282
"BRD-K58925245","LSM-11987","VCAP",0.282
"Fedratinib","LSM-1142","HS578T",0.282
"Mesulergine","LSM-4045","YAPC",0.282
"BRD-K99913693","LSM-14568","VCAP",0.282
"BRD-K20192397","LSM-14749","MCF7",0.282
"SA-1922111","LSM-41947","MCF7",0.282
"AC1NWAJL","LSM-1643","VCAP",0.282
"MLS002607804","LSM-1875","HA1E",0.282
"MLS003128950","LSM-7541","VCAP",0.282
"CHEMBL2426181","LSM-3160","VCAP",0.282
"BRD-K85821758","LSM-41954","VCAP",0.282
"Dolutegravir (GSK1349572)","LSM-45596","HT29",0.282
